
Title,Body
Joller generelt,"Write a general dinghy page for single- and double-handed boats beyond Optimist: rigging basics, capsize and righting techniques, standard maneuvers, common mistakes and maintenance. Purpose: cover all small boat types used by the group."
Basis-knob,"Create individual or grouped pages for essential knots (pælestik, ottetalsknob, flagknob, råbåndsknob, skødestik, halvstik). For each: describe purpose, step-by-step tying instructions, errors to avoid and practice exercises. Purpose: ensure scouts master core knots."
Øvede knob & redningsknob,"Write a page introducing advanced knots for 12–16 year olds: anchor hitch, prusik, double bowline and splice (splidsning). Describe use cases in towing and rescue. Purpose: equip older scouts for more complex situations."
Tovværk i praksis,"Write a page on rope work: proper mooring techniques, setting fenders, towing/assistance procedures, storage and care of lines. Purpose: apply knot skills in real scenarios."
COLREG – begyndere,"Create a page summarizing the five most important sailing rules for beginners: keeping lookout, safe speed, right-of-way situations (sail vs motor, meeting, crossing, overtaking), and caution in narrow channels. Use diagrams and simple quizzes. Purpose: build basic rule awareness."
COLREG – avanceret,"Write an advanced page covering special vessels, rules in reduced visibility, sound signals, and night sailing. Include complex scenario quizzes for 12–16 year olds. Purpose: deepen knowledge for experienced scouts."
Fyr,"Write a page on lighthouses: purpose, light characteristics (Fl, Oc, Iso, LFl, Q), reading sector lights (red/green/white) and ranges, and examples on charts. Include a recognition quiz. Purpose: teach navigation by lights."
Lanterner,"Write a page explaining navigation lights: configurations for sailboats and motorboats, lights for small boats under 7 m, towing and fishing vessels. Include a 'name that vessel' quiz with light patterns. Purpose: enable scouts to recognize vessels and act accordingly at night."
Afmærkning (IALA A),"Create a page covering buoyage: lateral marks (red/green), cardinal marks (N/E/S/W with memory tricks), safe water marks, isolated danger and special marks. Explain how to interpret them on charts and the water. Include a practice quiz. Purpose: help scouts navigate channels and avoid hazards."
Navigation – basics,"Write a page introducing basic navigation: what is a nautical chart, depth and color coding, key symbols (rocks, cables, restricted zones), using a compass, setting a course and simple bearings, using GPS responsibly, and planning a simple A→B route. Purpose: provide fundamental nav skills for all sailors."
Navigation – avanceret,"Write an advanced navigation page for 12–16 year olds: concepts of leeway and current, calculating position from two bearings, laylines for racing, route planning with primary/secondary plans and emergency options, night and fog navigation, safe coastal sailing. Include practice exercises. Purpose: prepare older scouts for independent sailing."
VHF basics,"Write a page explaining what VHF radio is and why we use it, the role of channel 16 as distress/calling/monitoring channel, and the limitations of mobile phones. Purpose: ensure scouts understand the importance of radio communications."
VHF certifikat & ansvar,"Create a page describing radio certifications (SRC), the age requirement (15+), and group policy: younger scouts may use radio only under leader supervision. Purpose: promote legal and safe radio use."
VHF kommunikation & kanaler,"Write a page listing the group’s working channels and typical inter-ship channels (e.g. 72/77), plus how to call up using a standard format ('receiver receiver receiver, this is ...'). Purpose: teach proper radio discipline and channel use."
VHF nødprocedure,"Write a page on distress calls: when and how to use MAYDAY and PAN-PAN, what information to include (boat name/call sign, position, nature of distress, assistance needed, number of people), and using the DSC distress button if present. Purpose: ensure all scouts know emergency radio procedures."
Kniv & værktøj,"Write a page on knife and tool safety: proper knife handling, whittling techniques, maintenance, and introduction to saw and axe for 12–16 year olds. Purpose: promote safe use of tools and satisfy badge requirements."
Bål,"Create a page on fire craft: fire safety, lighting and materials, types of campfires (tipi, pagoda, star fire), cooking in wet weather, extinguishing and Leave No Trace. Include separate cooking suggestions for 8–12 and 12–16. Purpose: support outdoor skills and badge work."
Pionering & rafter,"Write a page covering basic lashings and knots for structures, rope choice and safety, and small sea-scout projects like boat stands, drying racks and simple floating platforms. Purpose: teach construction skills and connect rope work to practical projects."
Tur & lejrliv,"Write a page on camping and trip life: packing lists for day/overnight/summer trips, patrol kitchen routines, hygiene, environmental considerations, camp set-up, logbook and watch schedules for older scouts. Purpose: prepare scouts for independent camp experiences."
Øvelsesbank,"Compile a bank of training exercises across topics: each exercise should include purpose, setup, step-by-step instructions, variations and debrief questions. Purpose: provide leaders with ready-made activities to support learning."
Progression – 8–12 år,"Design a 4-week training progression for beginners with increasing complexity across boat handling, safety and seamanship. Purpose: ensure a clear learning pathway for younger scouts."
Progression – 12–16 år,"Design an 8-week training progression for older scouts, including J/70 practice, advanced navigation, racing introduction and leadership roles. Purpose: prepare for advanced sailing and leadership responsibilities."
Quizzer & cheatsheets,"Create quizzes and one-page cheatsheets for knots, COLREG scenarios, lantern and buoy recognition, VHF protocols and sail trim. Purpose: provide fun revision tools and quick references for scouts and leaders."
Styleguide,"Write a page describing the style guidelines for the wiki: tone, length, structure, use of headings and age boxes, linking practice and image placement. Purpose: maintain consistency across contributions."
Lokal tilpasning,"Write a page for group-specific information: local waters, harbor regulations, emergency contacts, weather limits, group working channels. Purpose: tailor the wiki to your local environment and needs."
